primary_city,state,county
Coalport,PA,Clearfield
Coupon,PA,Cambria
Cresson,PA,Cambria
Curryville,PA,Blair
Defiance,PA,Bedford
Dudley,PA,Huntingdon
Duncansville,PA,Blair
Dysart,PA,Cambria
East Freedom,PA,Blair
Entriken,PA,Huntingdon
Fallentimber,PA,Cambria
Flinton,PA,Cambria
Gallitzin,PA,Cambria
Glasgow,PA,Cambria
Glen Hope,PA,Clearfield
Hastings,PA,Cambria
Hesston,PA,Huntingdon
Hollidaysburg,PA,Blair
Hopewell,PA,Bedford
Houtzdale,PA,Clearfield
Huntingdon,PA,Huntingdon
Imler,PA,Bedford
Irvona,PA,Clearfield
James Creek,PA,Huntingdon
Loysburg,PA,Bedford
Mc Connellstown,PA,Huntingdon
Madera,PA,Clearfield
Martinsburg,PA,Blair
Morann,PA,Clearfield
New Enterprise,PA,Bedford
Newry,PA,Blair
Osceola Mills,PA,Clearfield
Osterburg,PA,Bedford
Patton,PA,Cambria
Petersburg,PA,Huntingdon
Queen,PA,Bedford
Ramey,PA,Clearfield
Riddlesburg,PA,Bedford
Roaring Spring,PA,Blair
Robertsdale,PA,Huntingdon
Saint Boniface,PA,Cambria
Sandy Ridge,PA,Centre
Saxton,PA,Bedford
Six Mile Run,PA,Bedford
Smithmill,PA,Clearfield
Smokerun,PA,Clearfield
Sproul,PA,Blair
Spruce Creek,PA,Huntingdon
Tipton,PA,Blair
Todd,PA,Huntingdon
Tyrone,PA,Blair
Waterfall,PA,Fulton
Wells Tannery,PA,Fulton
Westover,PA,Clearfield
Williamsburg,PA,Blair
Wood,PA,Huntingdon
Woodbury,PA,Bedford
Bradford,PA,McKean
Austin,PA,Potter
Crosby,PA,McKean
Custer City,PA,McKean
Cyclone,PA,McKean
Derrick City,PA,McKean
De Young,PA,Elk
Duke Center,PA,McKean
East Smethport,PA,McKean
Eldred,PA,McKean
Gifford,PA,McKean
Hazel Hurst,PA,McKean
James City,PA,Elk
Kane,PA,McKean
Lewis Run,PA,McKean
Mount Jewett,PA,McKean
Port Allegany,PA,McKean
Rew,PA,McKean
Rixford,PA,McKean
Roulette,PA,Potter
Shinglehouse,PA,Potter
Smethport,PA,McKean
Turtlepoint,PA,McKean
State College,PA,Centre
University Park,PA,Centre
Aaronsburg,PA,Centre
Allport,PA,Clearfield
Beech Creek,PA,Clinton
Bellefonte,PA,Centre
Bigler,PA,Clearfield
Blanchard,PA,Centre
Boalsburg,PA,Centre
Centre Hall,PA,Centre
Clarence,PA,Centre
Clearfield,PA,Clearfield
Coburn,PA,Centre
Curwensville,PA,Clearfield
Drifting,PA,Clearfield
Fleming,PA,Centre
Frenchville,PA,Clearfield
Glen Richey,PA,Clearfield
Grampian,PA,Clearfield
Grassflat,PA,Clearfield
Hawk Run,PA,Clearfield
Howard,PA,Centre
Hyde,PA,Clearfield
Julian,PA,Centre
Karthaus,PA,Clearfield
Kylertown,PA,Clearfield
Lamar,PA,Clinton
Lanse,PA,Clearfield
Lecontes Mills,PA,Clearfield
Lemont,PA,Centre
Madisonburg,PA,Centre
Milesburg,PA,Centre
Millheim,PA,Centre
Mineral Springs,PA,Clearfield
Mingoville,PA,Centre
Morrisdale,PA,Clearfield
Moshannon,PA,Centre
Munson,PA,Clearfield
New Millport,PA,Clearfield
Olanta,PA,Clearfield
Orviston,PA,Centre
Pennsylvania Furnace,PA,Centre
Philipsburg,PA,Centre
Pine Grove Mills,PA,Centre
Port Matilda,PA,Centre
Pottersdale,PA,Clearfield
Rebersburg,PA,Centre
Shawville,PA,Clearfield
Snow Shoe,PA,Centre
Spring Mills,PA,Centre
Wallaceton,PA,Clearfield
Warriors Mark,PA,Huntingdon
West Decatur,PA,Clearfield
Winburne,PA,Clearfield
Woodland,PA,Clearfield
Woodward,PA,Centre
Wellsboro,PA,Tioga
Alba,PA,Bradford
Arnot,PA,Tioga
Blossburg,PA,Tioga
Columbia Cross Roads,PA,Bradford
Coudersport,PA,Potter
Covington,PA,Tioga
Cowanesque,PA,Tioga
Elkland,PA,Tioga
Gaines,PA,Tioga
Galeton,PA,Potter
Genesee,PA,Potter
Gillett,PA,Bradford
Granville Summit,PA,Bradford
Harrison Valley,PA,Potter
Knoxville,PA,Tioga
Lawrenceville,PA,Tioga
Liberty,PA,Tioga
Mainesburg,PA,Tioga
Mansfield,PA,Tioga
Middlebury Center,PA,Tioga
Millerton,PA,Tioga
Mills,PA,Potter
Morris,PA,Tioga
Morris Run,PA,Tioga
Nelson,PA,Tioga
Osceola,PA,Tioga
Sabinsville,PA,Tioga
Sylvania,PA,Bradford
Tioga,PA,Tioga
Troy,PA,Bradford
Ulysses,PA,Potter
Westfield,PA,Tioga
Camp Hill,PA,Cumberland
Allensville,PA,Mifflin
Annville,PA,Lebanon
Belleville,PA,Mifflin
Berrysburg,PA,Dauphin
Blain,PA,Perry
Boiling Springs,PA,Cumberland
Bowmansdale,PA,Cumberland
Burnham,PA,Mifflin
Campbelltown,PA,Lebanon
Carlisle,PA,Cumberland
Cocolamus,PA,Juniata
Cornwall,PA,Lebanon
Dalmatia,PA,Northumberland
Dauphin,PA,Dauphin
Dillsburg,PA,York
Duncannon,PA,Perry
East Waterford,PA,Juniata
Elizabethtown,PA,Lancaster
Elizabethville,PA,Dauphin
Elliottsburg,PA,Perry
Enola,PA,Cumberland
Fredericksburg,PA,Lebanon
Grantham,PA,Cumberland
Grantville,PA,Dauphin
Granville,PA,Mifflin
Gratz,PA,Dauphin
Halifax,PA,Dauphin
Hershey,PA,Dauphin
Highspire,PA,Dauphin
Honey Grove,PA,Juniata
Hummelstown,PA,Dauphin
Ickesburg,PA,Perry
Jonestown,PA,Lebanon
Kleinfeltersville,PA,Lebanon
Landisburg,PA,Perry
Lawn,PA,Lebanon
Lebanon,PA,Lebanon
Lemoyne,PA,Cumberland
Lewistown,PA,Mifflin
Liverpool,PA,Perry
Loysville,PA,Perry
Lykens,PA,Dauphin
Mc Alisterville,PA,Juniata
Mechanicsburg,PA,Cumberland
Mc Veytown,PA,Mifflin
Mapleton Depot,PA,Huntingdon
Marysville,PA,Perry
Mattawana,PA,Mifflin
Mexico,PA,Juniata
Middletown,PA,Dauphin
Mifflin,PA,Juniata
Mifflintown,PA,Juniata
Mill Creek,PA,Huntingdon
Millersburg,PA,Dauphin
Millerstown,PA,Perry
Milroy,PA,Mifflin
Mount Gretna,PA,Lebanon
Mount Holly Springs,PA,Cumberland
Mount Union,PA,Huntingdon
Myerstown,PA,Lebanon
New Bloomfield,PA,Perry
New Buffalo,PA,Perry
New Cumberland,PA,Cumberland
New Germantown,PA,Perry
New Kingstown,PA,Cumberland
Newmanstown,PA,Lebanon
Newport,PA,Perry
Newton Hamilton,PA,Mifflin
Oakland Mills,PA,Juniata
Ono,PA,Lebanon
Palmyra,PA,Lebanon
Pillow,PA,Dauphin
Plainfield,PA,Cumberland
Port Royal,PA,Juniata
Quentin,PA,Lebanon
Reedsville,PA,Mifflin
Rexmont,PA,Lebanon
Richfield,PA,Juniata
Richland,PA,Lebanon
Schaefferstown,PA,Lebanon
Shermans Dale,PA,Perry
Summerdale,PA,Cumberland
Thompsontown,PA,Juniata
Wiconisco,PA,Dauphin
Williamstown,PA,Dauphin
Yeagertown,PA,Mifflin
Harrisburg,PA,Dauphin
Chambersburg,PA,Franklin
Amberson,PA,Franklin
Artemas,PA,Bedford
Big Cove Tannery,PA,Fulton
Blairs Mills,PA,Huntingdon
Blue Ridge Summit,PA,Franklin
Burnt Cabins,PA,Fulton
Concord,PA,Franklin
Doylesburg,PA,Franklin
Dry Run,PA,Franklin
Fannettsburg,PA,Franklin
Fayetteville,PA,Franklin
Fort Littleton,PA,Fulton
Fort Loudon,PA,Franklin
Greencastle,PA,Franklin
Harrisonville,PA,Fulton
Hustontown,PA,Fulton
Lemasters,PA,Franklin
Lurgan,PA,Franklin
Mc Connellsburg,PA,Fulton
Marion,PA,Franklin
Mercersburg,PA,Franklin
Mont Alto,PA,Franklin
Needmore,PA,Fulton
Neelyton,PA,Huntingdon
Newburg,PA,Cumberland
Newville,PA,Cumberland
Orbisonia,PA,Huntingdon
Orrstown,PA,Franklin
Pleasant Hall,PA,Franklin
Quincy,PA,Franklin
Rockhill Furnace,PA,Huntingdon
Rouzerville,PA,Franklin
Roxbury,PA,Franklin
Saint Thomas,PA,Franklin
Saltillo,PA,Huntingdon
Scotland,PA,Franklin
Shade Gap,PA,Huntingdon
Shady Grove,PA,Franklin
Shippensburg,PA,Cumberland
Shirleysburg,PA,Huntingdon
South Mountain,PA,Franklin
Spring Run,PA,Franklin
State Line,PA,Franklin
Three Springs,PA,Huntingdon
Upperstrasburg,PA,Franklin
Walnut Bottom,PA,Cumberland
Warfordsburg,PA,Fulton
Waynesboro,PA,Franklin
Williamson,PA,Franklin
Willow Hill,PA,Franklin
Zullinger,PA,Franklin
Abbottstown,PA,Adams
Airville,PA,York
Arendtsville,PA,Adams
Aspers,PA,Adams
Bendersville,PA,Adams
Biglerville,PA,Adams
Brogue,PA,York
Cashtown,PA,Adams
Codorus,PA,York
Craley,PA,York
Dallastown,PA,York
Delta,PA,York
Dover,PA,York
East Berlin,PA,Adams
East Prospect,PA,York
Emigsville,PA,York
Etters,PA,York
Fairfield,PA,Adams
Fawn Grove,PA,York
Felton,PA,York
Franklintown,PA,York
Gardners,PA,Cumberland
Gettysburg,PA,Adams
Glen Rock,PA,York
Glenville,PA,York
Hanover,PA,York
Idaville,PA,Adams
Lewisberry,PA,York
Littlestown,PA,Adams
Loganville,PA,York
Mc Knightstown,PA,Adams
Mc Sherrystown,PA,Adams
Manchester,PA,York
Mount Wolf,PA,York
New Freedom,PA,York
New Oxford,PA,Adams
New Park,PA,York
Orrtanna,PA,Adams
Porters Sideling,PA,York
Railroad,PA,York
Red Lion,PA,York
Rossville,PA,York
Seven Valleys,PA,York
Shrewsbury,PA,York
Spring Grove,PA,York
Stewartstown,PA,York
Thomasville,PA,York
Wellsville,PA,York
Windsor,PA,York
Wrightsville,PA,York
York Haven,PA,York
York New Salem,PA,York
York Springs,PA,Adams
Peach Glen,PA,Adams
York,PA,York
Akron,PA,Lancaster
Bainbridge,PA,Lancaster
Bart,PA,Lancaster
Bausman,PA,Lancaster
Bird In Hand,PA,Lancaster
Blue Ball,PA,Lancaster
Bowmansville,PA,Lancaster
Brownstown,PA,Lancaster
Christiana,PA,Lancaster
Columbia,PA,Lancaster
Conestoga,PA,Lancaster
Denver,PA,Lancaster
Drumore,PA,Lancaster
East Earl,PA,Lancaster
East Petersburg,PA,Lancaster
Elm,PA,Lancaster
Ephrata,PA,Lancaster
Gap,PA,Lancaster
Goodville,PA,Lancaster
Gordonville,PA,Lancaster
Holtwood,PA,Lancaster
Hopeland,PA,Lancaster
Intercourse,PA,Lancaster
Kinzers,PA,Lancaster
Kirkwood,PA,Lancaster
Lampeter,PA,Lancaster
Landisville,PA,Lancaster
Leola,PA,Lancaster
Lititz,PA,Lancaster
Manheim,PA,Lancaster
Marietta,PA,Lancaster
Martindale,PA,Lancaster
Maytown,PA,Lancaster
Millersville,PA,Lancaster
Mount Joy,PA,Lancaster
Mountville,PA,Lancaster
Narvon,PA,Lancaster
New Holland,PA,Lancaster
New Providence,PA,Lancaster
Paradise,PA,Lancaster
Peach Bottom,PA,Lancaster
Penryn,PA,Lancaster
Pequea,PA,Lancaster
Quarryville,PA,Lancaster
Reamstown,PA,Lancaster
Refton,PA,Lancaster
Reinholds,PA,Lancaster
Rheems,PA,Lancaster
Ronks,PA,Lancaster
Lancaster,PA,Lancaster
Silver Spring,PA,Lancaster
Smoketown,PA,Lancaster
Stevens,PA,Lancaster
Strasburg,PA,Lancaster
Talmage,PA,Lancaster
Terre Hill,PA,Lancaster
Washington Boro,PA,Lancaster
West Willow,PA,Lancaster
Willow Street,PA,Lancaster
Witmer,PA,Lancaster
Williamsport,PA,Lycoming
Antes Fort,PA,Lycoming
Avis,PA,Clinton
Cammal,PA,Lycoming
Canton,PA,Bradford
Castanea,PA,Clinton
Cedar Run,PA,Lycoming
Cogan Station,PA,Lycoming
Cross Fork,PA,Potter
Dewart,PA,Northumberland
Eagles Mere,PA,Sullivan
Grover,PA,Bradford
Hughesville,PA,Lycoming
North Bend,PA,Clinton
Jersey Mills,PA,Lycoming
Jersey Shore,PA,Lycoming
Lairdsville,PA,Lycoming
Linden,PA,Lycoming
Lock Haven,PA,Clinton
Loganton,PA,Clinton
Mc Elhattan,PA,Clinton
Mc Ewensville,PA,Northumberland
Mackeyville,PA,Clinton
Mill Hall,PA,Clinton
Montgomery,PA,Lycoming
Montoursville,PA,Lycoming
Muncy,PA,Lycoming
Muncy Valley,PA,Sullivan
Picture Rocks,PA,Lycoming
Ralston,PA,Lycoming
Renovo,PA,Clinton
Roaring Branch,PA,Tioga
Salona,PA,Clinton
Shunk,PA,Sullivan
Slate Run,PA,Lycoming
Trout Run,PA,Lycoming
Turbotville,PA,Northumberland
Tylersville,PA,Clinton
Unityville,PA,Lycoming
Waterville,PA,Lycoming
Watsontown,PA,Northumberland
Westport,PA,Clinton
Woolrich,PA,Clinton
Sunbury,PA,Northumberland
Allenwood,PA,Union
Beaver Springs,PA,Snyder
Beavertown,PA,Snyder
Benton,PA,Columbia
Bloomsburg,PA,Columbia
Catawissa,PA,Columbia
Danville,PA,Montour
Dornsife,PA,Northumberland
Elysburg,PA,Northumberland
Freeburg,PA,Snyder
Hartleton,PA,Union
Herndon,PA,Northumberland
Hummels Wharf,PA,Snyder
Marion Heights,PA,Northumberland
Kreamer,PA,Snyder
Kulpmont,PA,Northumberland
Laurelton,PA,Union
Leck Kill,PA,Northumberland
Lewisburg,PA,Union
Lightstreet,PA,Columbia
Locust Gap,PA,Northumberland
Mc Clure,PA,Mifflin
Middleburg,PA,Snyder
Mifflinburg,PA,Union
Millmont,PA,Union
Millville,PA,Columbia
Milton,PA,Northumberland
Montandon,PA,Northumberland
Mount Carmel,PA,Northumberland
Mount Pleasant Mills,PA,Snyder
New Berlin,PA,Union
New Columbia,PA,Union
Northumberland,PA,Northumberland
Numidia,PA,Columbia
Orangeville,PA,Columbia
Paxinos,PA,Northumberland
Paxtonville,PA,Snyder
Penns Creek,PA,Snyder
Port Trevorton,PA,Snyder
Potts Grove,PA,Northumberland
Coal Township,PA,Northumberland
Rebuck,PA,Northumberland
Riverside,PA,Northumberland
Selinsgrove,PA,Snyder
Shamokin,PA,Northumberland
Shamokin Dam,PA,Snyder
Snydertown,PA,Northumberland
Stillwater,PA,Columbia
Swengel,PA,Union
Trevorton,PA,Northumberland
Troxelville,PA,Snyder
Vicksburg,PA,Union
Washingtonville,PA,Montour
Weikert,PA,Union
West Milton,PA,Union
White Deer,PA,Union
Wilburton,PA,Columbia
Winfield,PA,Union
Pottsville,PA,Schuylkill
Aristes,PA,Columbia
Ashland,PA,Schuylkill
Auburn,PA,Schuylkill
Branchdale,PA,Schuylkill
Brockton,PA,Schuylkill
Cressona,PA,Schuylkill
Cumbola,PA,Schuylkill
Frackville,PA,Schuylkill
Friedensburg,PA,Schuylkill
Gilberton,PA,Schuylkill
Girardville,PA,Schuylkill
Gordon,PA,Schuylkill
Hegins,PA,Schuylkill
Klingerstown,PA,Schuylkill
Landingville,PA,Schuylkill
Lavelle,PA,Schuylkill
Llewellyn,PA,Schuylkill
Locustdale,PA,Columbia
Lost Creek,PA,Schuylkill
Mahanoy City,PA,Schuylkill
Mahanoy Plane,PA,Schuylkill
Mar Lin,PA,Schuylkill
Mary D,PA,Schuylkill
Middleport,PA,Schuylkill
Minersville,PA,Schuylkill
Muir,PA,Schuylkill
New Philadelphia,PA,Schuylkill
New Ringgold,PA,Schuylkill
Orwigsburg,PA,Schuylkill
Pine Grove,PA,Schuylkill
Pitman,PA,Schuylkill
Port Carbon,PA,Schuylkill
Ravine,PA,Schuylkill
Ringtown,PA,Schuylkill
Sacramento,PA,Schuylkill
Saint Clair,PA,Schuylkill
Schuylkill Haven,PA,Schuylkill
Seltzer,PA,Schuylkill
Shenandoah,PA,Schuylkill
Spring Glen,PA,Dauphin
Summit Station,PA,Schuylkill
Tower City,PA,Schuylkill
Tremont,PA,Schuylkill
Tuscarora,PA,Schuylkill
Valley View,PA,Schuylkill
Zion Grove,PA,Schuylkill
Lehigh Valley,PA,Lehigh
Ackermanville,PA,Northampton
Alburtis,PA,Lehigh
Aquashicola,PA,Carbon
Bangor,PA,Northampton
Bath,PA,Northampton
Bethlehem,PA,Northampton
Bowmanstown,PA,Carbon
Breinigsville,PA,Lehigh
Catasauqua,PA,Lehigh
Center Valley,PA,Lehigh
Cherryville,PA,Northampton
Coopersburg,PA,Lehigh
Coplay,PA,Lehigh
Danielsville,PA,Northampton
Durham,PA,Bucks
Easton,PA,Northampton
East Greenville,PA,Montgomery
East Texas,PA,Lehigh
Emmaus,PA,Lehigh
Flicksville,PA,Northampton
Fogelsville,PA,Lehigh
Whitehall,PA,Lehigh
Germansville,PA,Lehigh
Green Lane,PA,Montgomery
Hellertown,PA,Northampton
Hereford,PA,Berks
Kunkletown,PA,Monroe
Laurys Station,PA,Lehigh
Limeport,PA,Lehigh
Macungie,PA,Lehigh
Martins Creek,PA,Northampton
Nazareth,PA,Northampton
Neffs,PA,Lehigh
New Tripoli,PA,Lehigh
Northampton,PA,Northampton
Old Zionsville,PA,Lehigh
Orefield,PA,Lehigh
Palm,PA,Montgomery
Palmerton,PA,Carbon
Pen Argyl,PA,Northampton
Pennsburg,PA,Montgomery
Perkiomenville,PA,Montgomery
Red Hill,PA,Montgomery
Riegelsville,PA,Bucks
Schnecksville,PA,Lehigh
Slatedale,PA,Lehigh
Slatington,PA,Lehigh
Springtown,PA,Bucks
Stockertown,PA,Northampton
Sumneytown,PA,Montgomery
Tatamy,PA,Northampton
Treichlers,PA,Northampton
Trexlertown,PA,Lehigh
Walnutport,PA,Northampton
Wind Gap,PA,Northampton
Zionsville,PA,Lehigh
Allentown,PA,Lehigh
Hazleton,PA,Luzerne
Albrightsville,PA,Carbon
Andreas,PA,Schuylkill
Ashfield,PA,Carbon
Barnesville,PA,Schuylkill
Beaver Meadows,PA,Carbon
Coaldale,PA,Schuylkill
Conyngham,PA,Luzerne
Delano,PA,Schuylkill
Drifton,PA,Luzerne
Drums,PA,Luzerne
Ebervale,PA,Luzerne
Freeland,PA,Luzerne
Harleigh,PA,Luzerne
Jim Thorpe,PA,Carbon
Junedale,PA,Carbon
Kelayres,PA,Schuylkill
Lansford,PA,Carbon
Lattimer Mines,PA,Luzerne
Lehighton,PA,Carbon
Mcadoo,PA,Schuylkill
Milnesville,PA,Luzerne
Nesquehoning,PA,Carbon
Nuremberg,PA,Luzerne
Oneida,PA,Schuylkill
Parryville,PA,Carbon
Quakake,PA,Schuylkill
Rock Glen,PA,Luzerne
Saint Johns,PA,Luzerne
Sheppton,PA,Schuylkill
Sugarloaf,PA,Luzerne
Summit Hill,PA,Carbon
Sybertsville,PA,Luzerne
Tamaqua,PA,Schuylkill
Tresckow,PA,Carbon
Weatherly,PA,Carbon
Weston,PA,Luzerne
East Stroudsburg,PA,Monroe
Analomink,PA,Monroe
Bartonsville,PA,Monroe
Brodheadsville,PA,Monroe
Buck Hill Falls,PA,Monroe
Bushkill,PA,Pike
Canadensis,PA,Monroe
Cresco,PA,Monroe
Delaware Water Gap,PA,Monroe
Dingmans Ferry,PA,Pike
Effort,PA,Monroe
Gilbert,PA,Monroe
Henryville,PA,Monroe
Kresgeville,PA,Monroe
Long Pond,PA,Monroe
Marshalls Creek,PA,Monroe
Matamoras,PA,Pike
Milford,PA,Pike
Millrift,PA,Pike
Minisink Hills,PA,Monroe
Mountainhome,PA,Monroe
Mount Bethel,PA,Northampton
Mount Pocono,PA,Monroe
Pocono Summit,PA,Monroe
Pocono Lake,PA,Monroe
Pocono Lake Preserve,PA,Monroe
Pocono Manor,PA,Monroe
Pocono Pines,PA,Monroe
Portland,PA,Northampton
Reeders,PA,Monroe
Saylorsburg,PA,Monroe
Sciota,PA,Monroe
Scotrun,PA,Monroe
Shawnee On Delaware,PA,Monroe
Skytop,PA,Monroe
Stroudsburg,PA,Monroe
Swiftwater,PA,Monroe
Tamiment,PA,Pike
Tannersville,PA,Monroe
Unity House,PA,Pike
Archbald,PA,Lackawanna
Beach Lake,PA,Wayne
Carbondale,PA,Lackawanna
Chinchilla,PA,Lackawanna
Clarks Summit,PA,Lackawanna
Clifford,PA,Susquehanna
Dalton,PA,Lackawanna
Damascus,PA,Wayne
Elmhurst,PA,Lackawanna
Equinunk,PA,Wayne
Factoryville,PA,Wyoming
Fleetville,PA,Lackawanna
Forest City,PA,Susquehanna
Gouldsboro,PA,Lackawanna
Greeley,PA,Pike
Greentown,PA,Pike
Hamlin,PA,Wayne
Hawley,PA,Pike
Herrick Center,PA,Susquehanna
Honesdale,PA,Wayne
Jermyn,PA,Lackawanna
Jessup,PA,Lackawanna
Lackawaxen,PA,Pike
Lake Ariel,PA,Wayne
Lake Como,PA,Wayne
Lakeville,PA,Wayne
Lakewood,PA,Wayne
La Plume,PA,Lackawanna
Lenoxville,PA,Susquehanna
Milanville,PA,Wayne
Moscow,PA,Lackawanna
Newfoundland,PA,Wayne
Nicholson,PA,Wyoming
Olyphant,PA,Lackawanna
Orson,PA,Wayne
Paupack,PA,Pike
Peckville,PA,Lackawanna
Pleasant Mount,PA,Wayne
Poyntelle,PA,Wayne
Preston Park,PA,Wayne
Prompton,PA,Wayne
Rowland,PA,Pike
Shohola,PA,Pike
South Canaan,PA,Wayne
South Sterling,PA,Wayne
Starlight,PA,Wayne
Starrucca,PA,Wayne
Sterling,PA,Wayne
Tafton,PA,Pike
Thompson,PA,Susquehanna
Tobyhanna,PA,Monroe
Tyler Hill,PA,Wayne
Union Dale,PA,Susquehanna
Waverly,PA,Lackawanna
Waymart,PA,Wayne
White Mills,PA,Wayne
Scranton,PA,Lackawanna
Moosic,PA,Lackawanna
Taylor,PA,Lackawanna
Old Forge,PA,Lackawanna
Beach Haven,PA,Luzerne
Bear Creek,PA,Luzerne
Berwick,PA,Columbia
Blakeslee,PA,Monroe
Cambra,PA,Luzerne
Dallas,PA,Luzerne
Dushore,PA,Sullivan
Falls,PA,Wyoming
Forksville,PA,Sullivan
Glen Lyon,PA,Luzerne
Harveys Lake,PA,Luzerne
Hillsgrove,PA,Sullivan
Hunlock Creek,PA,Luzerne
Huntington Mills,PA,Luzerne
Laceyville,PA,Wyoming
Lake Harmony,PA,Carbon
Lake Winola,PA,Wyoming
Laporte,PA,Sullivan
Lehman,PA,Luzerne
Lopez,PA,Sullivan
Mehoopany,PA,Wyoming
Meshoppen,PA,Wyoming
Mifflinville,PA,Columbia
Mildred,PA,Sullivan
Nanticoke,PA,Luzerne
Nescopeck,PA,Luzerne
Noxen,PA,Wyoming
Pittston,PA,Luzerne
Duryea,PA,Luzerne
Wyoming,PA,Luzerne
Plymouth,PA,Luzerne
Ransom,PA,Lackawanna
Shawanese,PA,Luzerne
Shickshinny,PA,Luzerne
Sweet Valley,PA,Luzerne
Tunkhannock,PA,Wyoming
Wapwallopen,PA,Luzerne
White Haven,PA,Luzerne
Wilkes Barre,PA,Luzerne
Kingston,PA,Luzerne
Mountain Top,PA,Luzerne
Shavertown,PA,Luzerne
Luzerne,PA,Luzerne
Montrose,PA,Susquehanna
Athens,PA,Bradford
Brackney,PA,Susquehanna
Brooklyn,PA,Susquehanna
Burlington,PA,Bradford
Camptown,PA,Bradford
Dimock,PA,Susquehanna
East Smithfield,PA,Bradford
Friendsville,PA,Susquehanna
Gibson,PA,Susquehanna
Great Bend,PA,Susquehanna
Hallstead,PA,Susquehanna
Harford,PA,Susquehanna
Hop Bottom,PA,Susquehanna
Jackson,PA,Susquehanna
Kingsley,PA,Susquehanna
Lanesboro,PA,Susquehanna
Lawton,PA,Susquehanna
Le Raysville,PA,Bradford
Little Meadows,PA,Susquehanna
Milan,PA,Bradford
Monroeton,PA,Bradford
New Albany,PA,Bradford
New Milford,PA,Susquehanna
Rome,PA,Bradford
Sayre,PA,Bradford
South Gibson,PA,Susquehanna
South Montrose,PA,Susquehanna
Springville,PA,Susquehanna
Stevensville,PA,Bradford
Sugar Run,PA,Bradford
Susquehanna,PA,Susquehanna
Towanda,PA,Bradford
Ulster,PA,Bradford
Warren Center,PA,Bradford
Wyalusing,PA,Bradford
Wysox,PA,Bradford
Doylestown,PA,Bucks
Bedminster,PA,Bucks
Blooming Glen,PA,Bucks
Buckingham,PA,Bucks
Carversville,PA,Bucks
Chalfont,PA,Bucks
Colmar,PA,Montgomery
Danboro,PA,Bucks
Dublin,PA,Bucks
Earlington,PA,Montgomery
Erwinna,PA,Bucks
Ferndale,PA,Bucks
Forest Grove,PA,Bucks
Fountainville,PA,Bucks
Franconia,PA,Montgomery
Furlong,PA,Bucks
Gardenville,PA,Bucks
Hilltown,PA,Bucks
Holicong,PA,Bucks
Jamison,PA,Bucks
Kintnersville,PA,Bucks
Lahaska,PA,Bucks
Line Lexington,PA,Bucks
Lumberville,PA,Bucks
Mechanicsville,PA,Bucks
Milford Square,PA,Bucks
Montgomeryville,PA,Montgomery
New Hope,PA,Bucks
Newtown,PA,Bucks
Ottsville,PA,Bucks
Penns Park,PA,Bucks
Perkasie,PA,Bucks
Pineville,PA,Bucks
Pipersville,PA,Bucks
Plumsteadville,PA,Bucks
Point Pleasant,PA,Bucks
Quakertown,PA,Bucks
Revere,PA,Bucks
Richboro,PA,Bucks
Richlandtown,PA,Bucks
Rushland,PA,Bucks
Salford,PA,Montgomery
Salfordville,PA,Montgomery
Sellersville,PA,Bucks
Silverdale,PA,Bucks
Solebury,PA,Bucks
Souderton,PA,Montgomery
Southampton,PA,Bucks
Spinnerstown,PA,Bucks
Telford,PA,Montgomery
Trumbauersville,PA,Bucks
Tylersport,PA,Montgomery
Upper Black Eddy,PA,Bucks
Warminster,PA,Bucks
Warrington,PA,Bucks
Washington Crossing,PA,Bucks
Woxall,PA,Montgomery
Wycombe,PA,Bucks
Zionhill,PA,Bucks
Abington,PA,Montgomery
Ambler,PA,Montgomery
Ardmore,PA,Montgomery
Bala Cynwyd,PA,Montgomery
Huntingdon Valley,PA,Montgomery
Bristol,PA,Bucks
Broomall,PA,Delaware
Bryn Athyn,PA,Montgomery
Bryn Mawr,PA,Delaware
Cheltenham,PA,Montgomery
Chester,PA,Delaware
Aston,PA,Delaware
Brookhaven,PA,Delaware
Chester Heights,PA,Delaware
Clifton Heights,PA,Delaware
Philadelphia,PA,Philadelphia
Bensalem,PA,Bucks
Croydon,PA,Bucks
Crum Lynne,PA,Delaware
Darby,PA,Delaware
Dresher,PA,Montgomery
Drexel Hill,PA,Delaware
Elkins Park,PA,Montgomery
Edgemont,PA,Delaware
Essington,PA,Delaware
Fairless Hills,PA,Bucks
Flourtown,PA,Montgomery
Folcroft,PA,Delaware
Folsom,PA,Delaware
Fort Washington,PA,Montgomery
Gladwyne,PA,Montgomery
Glenolden,PA,Delaware
Glen Riddle Lima,PA,Delaware
Glenside,PA,Montgomery
Gradyville,PA,Delaware
Hatboro,PA,Montgomery
Haverford,PA,Delaware
Holmes,PA,Delaware
Horsham,PA,Montgomery
Jenkintown,PA,Montgomery
Langhorne,PA,Bucks
Lansdowne,PA,Delaware
Lenni,PA,Delaware
Feasterville Trevose,PA,Bucks
Levittown,PA,Bucks
Garnet Valley,PA,Delaware
Marcus Hook,PA,Delaware
Media,PA,Delaware
Springfield,PA,Delaware
Merion Station,PA,Montgomery
Morrisville,PA,Bucks
Morton,PA,Delaware
Narberth,PA,Montgomery
Newtown Square,PA,Delaware
Norwood,PA,Delaware
Oreland,PA,Montgomery
Prospect Park,PA,Delaware
Ridley Park,PA,Delaware
Sharon Hill,PA,Delaware
Wayne,PA,Delaware
Swarthmore,PA,Delaware
